,kcat,MW,kcat_MW
ACt2rpp,7398.8133918117555,57267.730100000095,465108.8521233754
ALAabcpp,7398.8133918117555,33754.665900000036,789097.6699171622
ARBabcpp,7398.8133918117555,77282.55130000012,344653.84181127936
ARBt3ipp,7398.8133918117555,33053.27929999996,805842.2272952006
ARBTptspp,7398.8133918117555,42352.59060000009,628904.344059706
ARGORNt7pp,7398.8133918117555,53629.27280000007,496663.9825577177
ASCBptspp,7398.8133918117555,42352.59060000009,628904.344059706
CHTBSptspp,7398.8133918117555,59665.890700000244,446414.65832541755
CITt7pp,7398.8133918117555,51144.3682000001,520794.9408303038
CTBTt2rpp,7398.8133918117555,54274.90940000008,490755.8299954026
CUt3,7398.8133918117555,77416.78010000044,344056.2650127859
DALAt2pp,7398.8133918117555,48690.28870000007,547043.9572588174
DSERt2pp,7398.8133918117555,48690.28870000007,547043.9572588174
FE3DHBZStonex,7398.8133918117555,58607.624800000114,454475.4765513423
FRUpts2pp,7398.8133918117555,59665.890700000244,446414.65832541755
FRUURt2rpp,7398.8133918117555,47232.638900000056,563926.3194020329
FUMt2_2pp,7398.8133918117555,47236.07810000005,563885.2606292539
G3PCabcpp,7398.8133918117555,156521.3224000001,170173.16108825762
G3PEabcpp,7398.8133918117555,156521.3224000001,170173.16108825762
G3PGabcpp,7398.8133918117555,156521.3224000001,170173.16108825762
G3PIabcpp,7398.8133918117555,156521.3224000001,170173.16108825762
G3PSabcpp,7398.8133918117555,156521.3224000001,170173.16108825762
GALTptspp,7398.8133918117555,59665.890700000244,446414.65832541755
GAMptspp,7398.8133918117555,59665.890700000244,446414.65832541755
GLCabcpp,7398.8133918117555,97941.801,271954.64999180805
GLUabcpp,7398.8133918117555,112539.53140000002,236678.8619000977
GLYBabcpp_num1,7398.8133918117555,192625.6767000006,138277.14283389846
GLYC2Pabcpp,7398.8133918117555,156521.3224000001,170173.16108825762
GLYC3Pabcpp,7398.8133918117555,156521.3224000001,170173.16108825762
GTHRDabc2pp,7398.8133918117555,180059.71440000032,147927.19348288758
ILEt2rpp,7398.8133918117555,44831.84830000004,594125.1414013705
LEUt2rpp_num1,7398.8133918117555,27333.03840000001,974488.3763278328
LYSabcpp,7398.8133918117555,25081.59459999999,1061963.1102131892
LYSt2pp,7398.8133918117555,53629.27280000007,496663.9825577177
MALTabcpp,7398.8133918117555,121309.6752000002,219568.04489508914
MALTptspp,7398.8133918117555,59665.890700000244,446414.65832541755
METabcpp,7398.8133918117555,94594.12540000008,281579.09487392224
MNt2pp,7398.8133918117555,20061.501899999992,1327703.595837076
NO3tex,7398.8133918117555,48842.04090000008,545344.2919196744
PA120abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
