gene_id	normalized_counts
Cgl2801	367.85
Cgl2800	149
Cgl2799	165.88
Cgl2798	119.6
Cgl2797	85.5
Cgl2796	466.03
Cgl2795	53.72
Cgl2794	5.16
Cgl2793	157.61
Cgl2792	152.28
Cgl2791	65.23
Cgl2790	38.64
Cgl2789	27.77
Cgl2788	50.79
Cgl2787	18.87
Cgl2786	15.65
Cgl2785	150.12
Cgl2784	9.78
Cgl2783	27.88
Cgl2782	45.28
Cgl2781	21.59
Cgl2780	120.71
Cgl2779	142.5
Cgl2778	43.71
Cgl2777	74.21
Cgl2776	11.72
Cgl2775	28.34
Cgl2774	96.42
Cgl2773	278.43
Cgl2772	138.26
Cgl2771	232.02
Cgl2770	1016.18
Cgl2769	87.87
Cgl2768	70.7
Cgl2767	61.31
Cgl2766	262.81
Cgl2764	201.77
Cgl2763	97.09
Cgl2762	99.76
Cgl2761	16.71
Cgl2760	217.37
Cgl2759	186.62
Cgl2758	149.34
Cgl2757	98.36
Cgl2756	30.29
Cgl2755	304.85
Cgl2754	183.07
Cgl2753	327.24
Cgl2752	250.51
Cgl2751	158.32
Cgl2750	336.37
Cgl2749	385.09
Cgl2748	232.43
Cgl2747	254.37
Cgl2746	233.29
Cgl2745	192.47
Cgl2744	111.67
Cgl2743	39.64
Cgl2742	56.28
Cgl2741	120.8
Cgl2740	39.33
Cgl2739	55.49
Cgl2738	154.35
Cgl2737	473.79
Cgl2736	166.53
Cgl2735	75.96
Cgl2734	133.45
Cgl2733	154.77
Cgl2732	137.71
Cgl2731	117.82
Cgl2730	438.13
Cgl2729	273.46
Cgl2727	596.57
Cgl2726	186.89
Cgl2725	60.41
Cgl2724	79.32
Cgl2723	187.78
Cgl2722	88.07
Cgl2721	49.95
Cgl2720	62.44
Cgl2719	105.64
Cgl2718	91.64
Cgl2717	37.39
Cgl2716	169.4
Cgl2715	2730.55
Cgl2714	428.76
Cgl2713	33.48
Cgl2712	58.64
Cgl2711	103.32
Cgl2710	131.45
Cgl2709	78.81
Cgl2708	2.91
Cgl2707	7.03
Cgl2706	97.65
Cgl2705	51.67
Cgl2704	85.65
Cgl2703	51.1
Cgl2702	17.88
Cgl2700	311.52
Cgl2699	42.7
Cgl2698	16.01
Cgl2697	700.81
